"# Panel D source. Three assays across chr18:36.90-37.88 Mb, shared genomic axis."
"# track '4C'         : mean mutant-minus-WT contact change per bin, viewpoint F (2 replicates"
"#                      per genotype; Spearman WT 0.86, HOMO 0.80). Viewpoint BC excluded,"
#                      replicate concordance only 0.61/0.53.
# track 'CTCF'       : per-peak signal change from the GEO spike-in normalised bigwigs.
"# track 'expression' : per-gene log2FC, bulk brain RNA-seq, homozygous vs wild type."
# Region assigned by COORDINATE. The A4 table's nearest_pcdh_gene column reports
"# 'Pcdha4b' for 32 of 41 peaks and is unusable. Subfamily intervals nest, so a disjoint"
# assignment is used (Pcdhb and Pcdhg take precedence).
# Subfamily interval bounds (mm10), from A4_cpcdh_subfamily_bounds_mm10.csv, used for the
# region bands. DISJOINT: Pcdha row is the annotation interval MINUS nested Pcdhb/Pcdhg.
#   Pcdha 36930184 37264938
#   Pcdhb 37264938 37524479
#   Pcdhg 37661793 37841873
# Do NOT derive band bounds from feature extents: the first and last feature do not sit at
# the interval edges, which inflates Pcdha to 1037 kb and overlaps the other two.
track,feature,region,chr18_start,chr18_end,peak_class,wt_signal,mut_signal,value,u_motif,significant
4C,bin_39,Pcdha,37057342,37067272,,,,0.2833,,stable
4C,bin_40,Pcdha,37067273,37077202,,,,0.3047,,stable
4C,bin_41,Pcdha,37077203,37087132,,,,0.1497,,stable
4C,bin_42,Pcdha,37087133,37097062,,,,-0.0462,,stable
4C,bin_43,Pcdha,37097063,37106992,,,,0.6519,,stable
4C,bin_44,Pcdha,37106993,37116922,,,,0.255,,stable
4C,bin_45,Pcdha,37116923,37126852,,,,0.1486,,stable
4C,bin_46,Pcdha,37126853,37136782,,,,0.6798,,stable
4C,bin_47,Pcdha,37136783,37146712,,,,0.5217,,higher_in_homo
4C,bin_48,Pcdha,37146713,37156642,,,,0.6392,,higher_in_homo
4C,bin_49,Pcdha,37156643,37166572,,,,0.2225,,stable
4C,bin_50,Pcdha,37166573,37176502,,,,0.1902,,stable
4C,bin_51,Pcdha,37176503,37186432,,,,0.7772,,higher_in_homo
4C,bin_52,Pcdha,37186433,37196363,,,,0.5192,,higher_in_homo
4C,bin_53,Pcdha,37196364,37206293,,,,0.4896,,stable
4C,bin_54,Pcdha,37206294,37216223,,,,0.1004,,stable
4C,bin_55,Pcdha,37216224,37226153,,,,-0.0668,,stable
4C,bin_56,Pcdha,37226154,37236083,,,,0.374,,stable
4C,bin_57,Pcdha,37236084,37246013,,,,0.4029,,stable
4C,bin_58,Pcdha,37246014,37255943,,,,0.4523,,stable
4C,bin_59,Pcdhb,37255944,37265873,,,,0.1668,,stable
4C,bin_60,Pcdhb,37265874,37275803,,,,-0.4929,,stable
4C,bin_61,Pcdhb,37275804,37285733,,,,-0.1013,,stable
4C,bin_62,Pcdhb,37285734,37295663,,,,-0.8855,,higher_in_wt
4C,bin_63,Pcdhb,37295664,37305593,,,,-1.0163,,higher_in_wt
4C,bin_64,Pcdhb,37305594,37315523,,,,-1.0563,,higher_in_wt
4C,bin_65,Pcdhb,37315524,37325454,,,,-0.623,,higher_in_wt
4C,bin_66,Pcdhb,37325455,37335384,,,,-0.6207,,stable
4C,bin_67,Pcdhb,37335385,37345314,,,,-0.817,,higher_in_wt
4C,bin_68,Pcdhb,37345315,37355244,,,,-0.6442,,stable
4C,bin_69,Pcdhb,37355245,37365174,,,,-0.8092,,higher_in_wt
4C,bin_70,Pcdhb,37365175,37375104,,,,0.0583,,stable
4C,bin_71,Pcdhb,37375105,37385034,,,,0.0041,,stable
4C,bin_72,Pcdhb,37385035,37394964,,,,0.2538,,stable
4C,bin_73,Pcdhb,37394965,37404894,,,,-0.592,,higher_in_wt
4C,bin_74,Pcdhb,37404895,37414824,,,,-0.6335,,higher_in_wt
4C,bin_75,Pcdhb,37414825,37424754,,,,-0.8694,,higher_in_wt
4C,bin_76,Pcdhb,37424755,37434684,,,,-0.9451,,higher_in_wt
4C,bin_77,Pcdhb,37434685,37444614,,,,-1.0745,,higher_in_wt
4C,bin_78,Pcdhb,37444615,37454545,,,,-0.9354,,higher_in_wt
4C,bin_79,Pcdhb,37454546,37464475,,,,-0.5134,,stable
4C,bin_80,Pcdhb,37464476,37474405,,,,-1.1584,,higher_in_wt
4C,bin_81,Pcdhb,37474406,37484335,,,,-1.5995,,higher_in_wt
4C,bin_82,Pcdhb,37484336,37494265,,,,-1.5451,,higher_in_wt
4C,bin_83,Pcdhb,37494266,37504195,,,,-1.4051,,higher_in_wt
4C,bin_84,Pcdhb,37504196,37514125,,,,-0.8183,,higher_in_wt
4C,bin_85,Pcdhb,37514126,37524055,,,,-0.6969,,higher_in_wt
4C,bin_86,Pcdhb,37524056,37533985,,,,0.1002,,stable
4C,bin_87,Pcdha,37533986,37543915,,,,-0.1467,,stable
4C,bin_88,Pcdha,37543916,37553845,,,,-0.034,,stable
4C,bin_89,Pcdha,37553846,37563775,,,,0.3559,,stable
4C,bin_90,Pcdha,37563776,37573705,,,,-0.0032,,stable
4C,bin_91,Pcdha,37573706,37583636,,,,0.157,,stable
4C,bin_92,Pcdha,37583637,37593566,,,,0.3748,,stable
4C,bin_93,Pcdha,37593567,37603496,,,,0.2179,,stable
4C,bin_94,Pcdha,37603497,37613426,,,,0.2121,,stable
4C,bin_95,Pcdha,37613427,37623356,,,,0.3233,,stable
4C,bin_96,Pcdha,37623357,37633286,,,,-0.0669,,stable
4C,bin_97,Pcdha,37633287,37643216,,,,-0.3707,,stable
4C,bin_98,Pcdha,37643217,37653146,,,,-0.2858,,stable
4C,bin_99,Pcdhg,37653147,37663076,,,,-0.3882,,stable
4C,bin_100,Pcdhg,37663077,37673006,,,,-0.2794,,stable
4C,bin_101,Pcdhg,37673007,37682936,,,,0.2667,,stable
4C,bin_102,Pcdhg,37682937,37692866,,,,0.324,,stable
4C,bin_103,Pcdhg,37692867,37702796,,,,0.3152,,stable
4C,bin_104,Pcdhg,37702797,37712727,,,,1.7967,,higher_in_homo
4C,bin_105,Pcdhg,37712728,37722657,,,,0.631,,higher_in_homo
4C,bin_106,Pcdhg,37722658,37732587,,,,0.4886,,stable
4C,bin_107,Pcdhg,37732588,37742517,,,,0.3433,,stable
4C,bin_108,Pcdhg,37742518,37752447,,,,0.1012,,stable
4C,bin_109,Pcdhg,37752448,37762377,,,,0.0091,,stable
4C,bin_110,Pcdhg,37762378,37772307,,,,0.2555,,stable
4C,bin_111,Pcdhg,37772308,37782237,,,,0.4098,,stable
4C,bin_112,Pcdhg,37782238,37792167,,,,0.2531,,stable
4C,bin_113,Pcdhg,37792168,37802097,,,,0.1608,,stable
4C,bin_114,Pcdhg,37802098,37812027,,,,-0.1249,,stable
4C,bin_115,Pcdhg,37812028,37821957,,,,-0.0324,,stable
4C,bin_116,Pcdhg,37821958,37831887,,,,-0.1936,,stable
4C,bin_117,Pcdhg,37831888,37841818,,,,-0.1161,,stable
4C,bin_118,Pcdhg,37841819,37851748,,,,0.1471,,stable
4C,bin_119,Pcdha,37851749,37861678,,,,0.1239,,stable
4C,bin_120,Pcdha,37861679,37871608,,,,-0.0337,,stable
4C,bin_121,Pcdha,37871609,37881538,,,,-0.5611,,higher_in_wt
CTCF,Brain_CTCF_homo_peak_16564,Pcdha,36939047,36939415,GAINED,6.844,6.73,-0.024,False,
CTCF,Brain_CTCF_homo_peak_16565,Pcdha,36953074,36953417,GAINED,6.878,7.925,0.204,False,
CTCF,Brain_CTCF_homo_peak_16566,Pcdha,36960060,36960384,GAINED,5.963,7.353,0.302,False,
CTCF,Brain_CTCF_wt_peak_15671,Pcdha,36960824,36961015,MAINTAINED,8.4,6.861,-0.291,False,
CTCF,Brain_CTCF_homo_peak_16568,Pcdha,36967433,36967737,GAINED,5.201,5.335,0.037,False,
CTCF,Brain_CTCF_homo_peak_16569,Pcdha,36968085,36968372,GAINED,3.141,5.841,0.893,False,
CTCF,Brain_CTCF_wt_peak_15672,Pcdha,36997674,36997867,LOST,12.224,2.86,-2.092,False,
CTCF,Brain_CTCF_wt_peak_15673,Pcdha,37089738,37090146,MAINTAINED,37.575,25.252,-0.573,False,
CTCF,Brain_CTCF_homo_peak_16571,Pcdha,37143385,37143929,GAINED,4.198,5.663,0.431,False,
CTCF,Brain_CTCF_wt_peak_15674,Pcdha,37217271,37217681,MAINTAINED,38.662,36.756,-0.073,False,
CTCF,Brain_CTCF_wt_peak_15675,Pcdha,37218244,37218642,MAINTAINED,45.734,37.604,-0.282,False,
CTCF,Brain_CTCF_wt_peak_15676,Pcdhb,37484811,37485063,LOST,11.911,0.929,-3.666,False,
CTCF,Brain_CTCF_homo_peak_16573,Pcdha,37655474,37655751,GAINED,10.249,7.886,-0.378,False,
CTCF,Brain_CTCF_wt_peak_15677,Pcdhg,37668724,37668982,LOST,7.979,2.022,-1.975,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15678,Pcdhg,37674193,37674421,MAINTAINED,10.316,7.693,-0.423,True,
CTCF,Brain_CTCF_homo_peak_16575,Pcdhg,37680054,37680377,GAINED,4.621,8.186,0.824,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15679,Pcdhg,37685084,37685329,MAINTAINED,12.837,8.115,-0.661,no_core_motif,
CTCF,Brain_CTCF_homo_peak_16577,Pcdhg,37689660,37689877,GAINED,4.75,7.328,0.625,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15680,Pcdhg,37694234,37694443,MAINTAINED,10.759,22.883,1.088,no_core_motif,
CTCF,Brain_CTCF_homo_peak_16579,Pcdhg,37706871,37707185,GAINED,6.981,7.014,0.007,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15681,Pcdhg,37714588,37714781,MAINTAINED,10.629,12.126,0.19,no_core_motif,
CTCF,Brain_CTCF_homo_peak_16581,Pcdhg,37720083,37720546,GAINED,3.705,24.85,2.742,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15682,Pcdhg,37725571,37725762,MAINTAINED,11.037,17.708,0.682,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15683,Pcdhg,37730804,37731034,MAINTAINED,11.661,24.156,1.05,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15684,Pcdhg,37741887,37742125,MAINTAINED,15.7,11.884,-0.401,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15685,Pcdhg,37746816,37747092,LOST,18.084,3.622,-2.317,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15686,Pcdhg,37751332,37751686,MAINTAINED,18.508,11.379,-0.701,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15687,Pcdhg,37755568,37755936,MAINTAINED,12.444,10.978,-0.181,False,
CTCF,Brain_CTCF_wt_peak_15688,Pcdhg,37761396,37761853,MAINTAINED,14.041,6.119,-1.197,False,
CTCF,Brain_CTCF_wt_peak_15689,Pcdhg,37765749,37766020,MAINTAINED,22.816,13.269,-0.781,False,
CTCF,Brain_CTCF_homo_peak_16589,Pcdhg,37766346,37766612,GAINED,0.097,2.777,4.698,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15690,Pcdhg,37806171,37806545,MAINTAINED,25.814,9.703,-1.411,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15691,Pcdhg,37808839,37809050,MAINTAINED,11.155,5.72,-0.962,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15692,Pcdhg,37841264,37841660,MAINTAINED,22.409,16.657,-0.428,False,
CTCF,Brain_CTCF_wt_peak_15693,Pcdha,37852080,37852569,MAINTAINED,62.083,53.023,-0.228,False,
CTCF,Brain_CTCF_wt_peak_15694,Pcdha,37877300,37877689,MAINTAINED,42.015,43.356,0.045,False,
CTCF,Brain_CTCF_wt_peak_15695,Pcdha,37880177,37880616,MAINTAINED,33.107,32.067,-0.046,no_core_motif,
CTCF,Brain_CTCF_wt_peak_15696,Pcdha,37883417,37883929,MAINTAINED,85.534,60.6,-0.497,False,
CTCF,Brain_CTCF_wt_peak_15697,Pcdha,37886901,37887406,MAINTAINED,17.434,19.299,0.146,False,
CTCF,Brain_CTCF_wt_peak_15698,Pcdha,37908093,37908435,MAINTAINED,41.339,28.858,-0.518,False,
CTCF,Brain_CTCF_wt_peak_15699,Pcdha,37935421,37935886,MAINTAINED,67.178,80.51,0.261,False,
expression,Pcdha3,Pcdha,36946105,37187657,,,,-0.013,,False
expression,Pcdha4,Pcdha,36952648,37187661,,,,-0.433,,False
expression,Pcdha5,Pcdha,36960440,37187657,,,,0.425,,False
expression,Pcdha6,Pcdha,36967631,37187657,,,,-1.031,,True
expression,Pcdha7,Pcdha,36973802,37187657,,,,-2.371,,True
expression,Pcdha8,Pcdha,36992371,37187657,,,,-2.895,,False
expression,Pcdha9,Pcdha,36997880,37187657,,,,-3.423,,True
expression,Pcdha10,Pcdha,37005203,37187657,,,,-0.242,,False
expression,Pcdhb2,Pcdhb,37294812,37297624,,,,-4.979,,True
expression,Pcdhb3,Pcdhb,37300799,37304585,,,,-2.187,,True
expression,Pcdhb4,Pcdhb,37307455,37311172,,,,-5.141,,True
expression,Pcdhb5,Pcdhb,37320381,37323915,,,,-3.959,,True
expression,Pcdhb6,Pcdhb,37333946,37337674,,,,-5.162,,True
expression,Pcdhb7,Pcdhb,37341702,37345202,,,,-2.664,,True
expression,Pcdhb8,Pcdhb,37355271,37358604,,,,-5.87,,True
expression,Pcdhb9,Pcdhb,37400855,37403909,,,,-2.365,,True
expression,Pcdhb10,Pcdhb,37411664,37414514,,,,-4.405,,True
expression,Pcdhb11,Pcdhb,37421418,37425836,,,,-4.937,,True
expression,Pcdhb12,Pcdhb,37435621,37438654,,,,-4.033,,True
expression,Pcdhb13,Pcdhb,37442500,37446209,,,,-3.741,,True
expression,Pcdhb14,Pcdhb,37447656,37456350,,,,-3.62,,True
expression,Pcdhb15,Pcdhb,37473540,37476340,,,,-4.053,,True
expression,Pcdhb16,Pcdhb,37477814,37483038,,,,-2.534,,True
expression,Pcdhb17,Pcdhb,37484795,37489454,,,,-3.868,,True
expression,Pcdhb18,Pcdhb,37489465,37494505,,,,-2.251,,True
expression,Pcdhb19,Pcdhb,37496991,37504128,,,,-3.8,,True
expression,Pcdhb20,Pcdhb,37504264,37507822,,,,-2.914,,True
expression,Pcdhb21,Pcdhb,37513621,37518325,,,,-2.838,,True
expression,Pcdhb22,Pcdhb,37517871,37524479,,,,-1.791,,True
expression,Pcdhga1,Pcdhg,37661793,37841873,,,,-2.824,,True
expression,Pcdhga2,Pcdhg,37668953,37841870,,,,-2.653,,True
expression,Pcdhgb1,Pcdhg,37680233,37841870,,,,1.034,,False
expression,Pcdhga4,Pcdhg,37685210,37841873,,,,-1.692,,True
expression,Pcdhgb2,Pcdhg,37689828,37841873,,,,-0.389,,False
expression,Pcdhga5,Pcdhg,37694380,37841873,,,,1.418,,True
expression,Pcdhga6,Pcdhg,37707039,37841873,,,,-1.132,,True
expression,Pcdhga7,Pcdhg,37714764,37841873,,,,0.322,,False
expression,Pcdhgb4,Pcdhg,37720369,37841870,,,,3.757,,True
expression,Pcdhgb5,Pcdhg,37731009,37841873,,,,1.076,,True
expression,Pcdhgb6,Pcdhg,37742094,37841873,,,,-2.472,,True
expression,Pcdhga10,Pcdhg,37746993,37841873,,,,-1.403,,True
expression,Pcdhgb7,Pcdhg,37751600,37841873,,,,-0.875,,True
expression,Pcdhgc4,Pcdhg,37815079,37841873,,,,-0.361,,False
