union_id,chrom,start,end,peak_class,annotation,figure4_feature
CTCF_union_00067,chr1,10114688,10114931,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00068,chr1,10197035,10197281,GAINED,"Exon (ENSMUST00000192111.1/ENSMUST00000192111.1, exon 1 of 1)",Other
CTCF_union_00069,chr1,10221035,10221284,LOST,"Intron (ENSMUST00000088615.10/211673, intron 1 of 37)",Intron
CTCF_union_00070,chr1,10229041,10229258,LOST,"Intron (ENSMUST00000088615.10/211673, intron 1 of 37)",Intron
CTCF_union_00071,chr1,10232152,10232381,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00072,chr1,10233081,10233330,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00073,chr1,10430021,10430241,LOST,"Intron (ENSMUST00000153695.7/329093, intron 5 of 9)",Intron
CTCF_union_00074,chr1,10488325,10488570,MAINTAINED,"Intron (ENSMUST00000153695.7/329093, intron 2 of 9)",Intron
CTCF_union_00075,chr1,10759656,10759950,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00076,chr1,10771796,10772215,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00077,chr1,10835688,10836048,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00078,chr1,10837280,10837487,LOST,Distal Intergenic,Distal
CTCF_union_00079,chr1,11065253,11065527,LOST,"Intron (ENSMUST00000027056.11/109294, intron 2 of 39)",Intron
CTCF_union_00080,chr1,11233979,11234217,LOST,"Intron (ENSMUST00000027056.11/109294, intron 35 of 39)",Intron
CTCF_union_00081,chr1,11413858,11414524,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00082,chr1,11466340,11466718,MAINTAINED,"Intron (ENSMUST00000171690.8/320492, intron 1 of 7)",Intron
CTCF_union_00083,chr1,11565366,11565737,MAINTAINED,"Intron (ENSMUST00000171690.8/320492, intron 5 of 7)",Intron
CTCF_union_00084,chr1,11657636,11658112,MAINTAINED,"Intron (ENSMUST00000048613.13/320492, intron 7 of 13)",Intron
CTCF_union_00085,chr1,12834660,12834883,LOST,Promoter (1-2kb),Promoter
CTCF_union_00086,chr1,12836660,12837230,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00087,chr1,12863953,12864444,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00088,chr1,12935802,12936103,GAINED,"Intron (ENSMUST00000188454.6/240726, intron 4 of 9)",Intron
CTCF_union_00089,chr1,12990037,12990921,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00090,chr1,12992478,12992986,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00091,chr1,13049910,13050739,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00092,chr1,13052006,13052392,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00093,chr1,13117823,13118071,LOST,"Intron (ENSMUST00000047577.6/383491, intron 6 of 7)",Intron
CTCF_union_00094,chr1,13134340,13134648,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00095,chr1,13138268,13138573,GAINED,Distal Intergenic,Distal
CTCF_union_00096,chr1,13142949,13143354,MAINTAINED,"Intron (ENSMUST00000081713.10/17978, intron 21 of 21)",Intron
CTCF_union_00097,chr1,13151057,13151488,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00098,chr1,13188310,13188537,GAINED,"Intron (ENSMUST00000081713.10/17978, intron 5 of 21)",Intron
CTCF_union_00099,chr1,13190656,13190945,GAINED,"Intron (ENSMUST00000081713.10/17978, intron 4 of 21)",Intron
CTCF_union_00100,chr1,13227270,13227653,MAINTAINED,"Intron (ENSMUST00000081713.10/17978, intron 2 of 21)",Intron
CTCF_union_00101,chr1,13268933,13269202,GAINED,"Intron (ENSMUST00000081713.10/17978, intron 2 of 21)",Intron
CTCF_union_00102,chr1,13355850,13356055,LOST,"Exon (ENSMUST00000195718.1/ENSMUST00000195718.1, exon 1 of 1)",Other
CTCF_union_00103,chr1,13372612,13373614,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00104,chr1,13373885,13374495,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00105,chr1,13500482,13500880,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00106,chr1,13531509,13531802,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00107,chr1,13589478,13590343,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00108,chr1,13659603,13660390,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00109,chr1,13697327,13697629,LOST,"Intron (ENSMUST00000088542.3/381246, intron 3 of 3)",Intron
CTCF_union_00110,chr1,13706347,13706731,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00111,chr1,13784222,13784809,MAINTAINED,Promoter (2-3kb),Promoter
CTCF_union_00112,chr1,13789143,13789771,MAINTAINED,Promoter (2-3kb),Promoter
CTCF_union_00113,chr1,14635855,14636243,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00114,chr1,14706212,14706469,LOST,Distal Intergenic,Distal
CTCF_union_00115,chr1,14729024,14729449,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00116,chr1,14738313,14738741,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00117,chr1,14740072,14740420,LOST,Distal Intergenic,Distal
CTCF_union_00118,chr1,14862324,14862883,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00119,chr1,14918741,14918968,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00120,chr1,14980387,14980591,LOST,Distal Intergenic,Distal
CTCF_union_00121,chr1,15007582,15008063,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00122,chr1,15286433,15286974,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00123,chr1,15327328,15327649,GAINED,"Intron (ENSMUST00000175681.2/98741, intron 2 of 2)",Intron
CTCF_union_00124,chr1,15621912,15622312,MAINTAINED,"Intron (ENSMUST00000175681.2/98741, intron 2 of 2)",Intron
CTCF_union_00125,chr1,15636488,15636738,GAINED,"Intron (ENSMUST00000175681.2/98741, intron 2 of 2)",Intron
CTCF_union_00126,chr1,15683649,15684030,MAINTAINED,"Intron (ENSMUST00000175681.2/98741, intron 2 of 2)",Intron
CTCF_union_00127,chr1,15791877,15792319,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00128,chr1,15875117,15875559,MAINTAINED,"Intron (ENSMUST00000040695.4/226866, intron 2 of 4)",Intron
CTCF_union_00129,chr1,15902433,15902817,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00130,chr1,15993518,15993898,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00131,chr1,16095790,16096093,GAINED,Promoter (2-3kb),Promoter
CTCF_union_00132,chr1,16104747,16106081,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00133,chr1,16304910,16305274,MAINTAINED,"Intron (ENSMUST00000162751.7/29819, intron 12 of 13)",Intron
CTCF_union_00134,chr1,16433391,16433788,MAINTAINED,"Intron (ENSMUST00000162751.7/29819, intron 5 of 13)",Intron
CTCF_union_00135,chr1,16440082,16440573,MAINTAINED,5' UTR,Other
CTCF_union_00136,chr1,16491247,16491478,GAINED,"Intron (ENSMUST00000162751.7/29819, intron 2 of 13)",Intron
CTCF_union_00137,chr1,16519080,16520093,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00138,chr1,16664915,16665212,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00139,chr1,16675060,16675288,GAINED,"Intron (ENSMUST00000177501.1/70397, intron 2 of 2)",Intron
CTCF_union_00140,chr1,16746052,16746401,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00141,chr1,16798377,16798651,LOST,Distal Intergenic,Distal
CTCF_union_00142,chr1,17123396,17123830,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00143,chr1,17145426,17145723,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00144,chr1,17163474,17163977,MAINTAINED,3' UTR,Other
CTCF_union_00145,chr1,17629529,17629939,MAINTAINED,3' UTR,Other
CTCF_union_00146,chr1,17707348,17707541,LOST,"Intron (ENSMUST00000155588.7/102634913, intron 5 of 6)",Intron
CTCF_union_00147,chr1,17980627,17980954,LOST,Distal Intergenic,Distal
CTCF_union_00148,chr1,18012860,18013287,MAINTAINED,"Intron (ENSMUST00000209898.1/ENSMUST00000209898.1, intron 1 of 2)",Intron
CTCF_union_00149,chr1,18106089,18107262,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00150,chr1,18131676,18132055,LOST,"Intron (ENSMUST00000130669.1/78081, intron 3 of 6)",Intron
CTCF_union_00151,chr1,18288933,18289197,LOST,Distal Intergenic,Distal
CTCF_union_00152,chr1,18359874,18360391,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00153,chr1,18410917,18411194,GAINED,Distal Intergenic,Distal
CTCF_union_00154,chr1,18976738,18977094,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00155,chr1,19056443,19056659,LOST,Distal Intergenic,Distal
CTCF_union_00156,chr1,19178943,19179531,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00157,chr1,19205492,19206572,MAINTAINED,Promoter (2-3kb),Promoter
CTCF_union_00158,chr1,19973417,19973699,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00159,chr1,20311482,20311950,MAINTAINED,"Intron (ENSMUST00000088448.11/241035, intron 49 of 66)",Intron
CTCF_union_00160,chr1,20450132,20450518,MAINTAINED,"Exon (ENSMUST00000088448.11/241035, exon 36 of 67)",Other
CTCF_union_00161,chr1,20513479,20514091,MAINTAINED,"Intron (ENSMUST00000088448.11/241035, intron 33 of 66)",Intron
CTCF_union_00162,chr1,20554394,20554848,MAINTAINED,"Intron (ENSMUST00000088448.11/241035, intron 22 of 66)",Intron
CTCF_union_00163,chr1,20612670,20613240,MAINTAINED,"Exon (ENSMUST00000088448.11/241035, exon 4 of 67)",Other
CTCF_union_00164,chr1,20700076,20700370,LOST,Distal Intergenic,Distal
CTCF_union_00165,chr1,20801687,20802132,MAINTAINED,Promoter (2-3kb),Promoter
CTCF_union_00166,chr1,20890422,20891322,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00167,chr1,20933392,20933826,MAINTAINED,"Intron (ENSMUST00000189400.6/74229, intron 2 of 2)",Intron
CTCF_union_00168,chr1,20938988,20939385,MAINTAINED,3' UTR,Other
CTCF_union_00169,chr1,21101223,21101616,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00170,chr1,21161811,21162209,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00171,chr1,21166010,21166608,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00172,chr1,21218286,21218938,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00173,chr1,21271470,21271712,LOST,"Exon (ENSMUST00000185842.1/ENSMUST00000185842.1, exon 1 of 2)",Other
CTCF_union_00174,chr1,21344277,21344693,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00175,chr1,21411200,21411682,MAINTAINED,"Intron (ENSMUST00000029667.12/226922, intron 11 of 13)",Intron
CTCF_union_00176,chr1,21419418,21419742,MAINTAINED,"Intron (ENSMUST00000029667.12/226922, intron 11 of 13)",Intron
CTCF_union_00177,chr1,21461068,21461496,MAINTAINED,"Intron (ENSMUST00000029667.12/226922, intron 9 of 13)",Intron
CTCF_union_00178,chr1,21960720,21961983,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00179,chr1,21967133,21967532,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00180,chr1,22105631,22105829,LOST,Distal Intergenic,Distal
CTCF_union_00181,chr1,22268896,22269448,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00182,chr1,22487298,22487709,MAINTAINED,"Intron (ENSMUST00000081544.12/116837, intron 9 of 31)",Intron
CTCF_union_00183,chr1,22532998,22533314,LOST,"Intron (ENSMUST00000081544.12/116837, intron 9 of 31)",Intron
CTCF_union_00184,chr1,22604249,22604880,MAINTAINED,"Intron (ENSMUST00000081544.12/116837, intron 3 of 31)",Intron
CTCF_union_00185,chr1,22734531,22734778,MAINTAINED,"Intron (ENSMUST00000081544.12/116837, intron 1 of 31)",Intron
CTCF_union_00186,chr1,23062011,23062407,MAINTAINED,"Intron (ENSMUST00000191045.1/ENSMUST00000191045.1, intron 3 of 3)",Intron
CTCF_union_00187,chr1,23140538,23141006,MAINTAINED,"Intron (ENSMUST00000191045.1/ENSMUST00000191045.1, intron 3 of 3)",Intron
CTCF_union_00188,chr1,23256866,23257102,GAINED,Distal Intergenic,Distal
CTCF_union_00189,chr1,23286671,23287306,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00190,chr1,23324285,23324553,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00191,chr1,23382979,23383478,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00192,chr1,23495389,23495719,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00193,chr1,23684514,23684752,GAINED,Distal Intergenic,Distal
CTCF_union_00194,chr1,23705566,23705907,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00195,chr1,23761668,23763423,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00196,chr1,23792777,23793129,MAINTAINED,"Intron (ENSMUST00000144602.1/280645, intron 2 of 2)",Intron
CTCF_union_00197,chr1,23826998,23827644,MAINTAINED,"Intron (ENSMUST00000063663.5/280645, intron 2 of 3)",Intron
CTCF_union_00198,chr1,23906097,23906428,MAINTAINED,"Intron (ENSMUST00000149737.7/98366, intron 1 of 10)",Intron
CTCF_union_00199,chr1,24022245,24022598,GAINED,"Intron (ENSMUST00000187619.6/68187, intron 3 of 5)",Intron
CTCF_union_00200,chr1,24034021,24034474,MAINTAINED,"Intron (ENSMUST00000188712.6/68187, intron 11 of 20)",Intron
CTCF_union_00201,chr1,24134834,24135262,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00202,chr1,24137081,24137568,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00203,chr1,24171371,24171947,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00204,chr1,24230313,24230659,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00205,chr1,24249034,24249555,MAINTAINED,"Intron (ENSMUST00000054588.14/12839, intron 37 of 37)",Intron
CTCF_union_00206,chr1,24261217,24261494,LOST,Distal Intergenic,Distal
CTCF_union_00207,chr1,24300812,24301053,LOST,"Intron (ENSMUST00000144297.1/12823, intron 28 of 39)",Intron
CTCF_union_00208,chr1,24302633,24303125,MAINTAINED,"Intron (ENSMUST00000144297.1/12823, intron 26 of 39)",Intron
CTCF_union_00209,chr1,24337629,24337928,GAINED,"Exon (ENSMUST00000144297.1/12823, exon 7 of 40)",Other
CTCF_union_00210,chr1,24367463,24368052,MAINTAINED,"Intron (ENSMUST00000144297.1/12823, intron 5 of 39)",Intron
CTCF_union_00211,chr1,24374990,24375218,LOST,"Intron (ENSMUST00000144297.1/12823, intron 4 of 39)",Intron
CTCF_union_00212,chr1,24378438,24378947,MAINTAINED,"Intron (ENSMUST00000144297.1/12823, intron 4 of 39)",Intron
CTCF_union_00213,chr1,24586492,24586801,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00214,chr1,24633752,24634090,LOST,Distal Intergenic,Distal
CTCF_union_00215,chr1,24678390,24679083,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00216,chr1,24716982,24717262,GAINED,"Intron (ENSMUST00000191471.6/68421, intron 7 of 15)",Intron
CTCF_union_00217,chr1,24718511,24718708,LOST,"Intron (ENSMUST00000191471.6/68421, intron 7 of 15)",Intron
CTCF_union_00218,chr1,24719676,24720108,MAINTAINED,"Intron (ENSMUST00000191471.6/68421, intron 7 of 15)",Intron
CTCF_union_00219,chr1,24901250,24901699,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00220,chr1,25085675,25085873,LOST,"Intron (ENSMUST00000126626.7/210933, intron 13 of 15)",Intron
CTCF_union_00221,chr1,25471661,25471987,MAINTAINED,"Intron (ENSMUST00000146592.7/210933, intron 9 of 28)",Intron
CTCF_union_00222,chr1,25504350,25504704,MAINTAINED,"Exon (ENSMUST00000146592.7/210933, exon 8 of 29)",Other
CTCF_union_00223,chr1,25510285,25510792,MAINTAINED,"Intron (ENSMUST00000146592.7/210933, intron 6 of 28)",Intron
CTCF_union_00224,chr1,25526961,25527279,MAINTAINED,"Intron (ENSMUST00000146592.7/210933, intron 6 of 28)",Intron
CTCF_union_00225,chr1,25616980,25617324,MAINTAINED,"Intron (ENSMUST00000146592.7/210933, intron 1 of 28)",Intron
CTCF_union_00226,chr1,25696714,25697096,MAINTAINED,"Intron (ENSMUST00000146592.7/210933, intron 1 of 28)",Intron
CTCF_union_00227,chr1,25826728,25827286,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00228,chr1,25828947,25829351,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00229,chr1,25829872,25830195,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00230,chr1,25894311,25894574,LOST,Distal Intergenic,Distal
CTCF_union_00231,chr1,27895428,27895687,MAINTAINED,"Intron (ENSMUST00000185409.1/433281, intron 1 of 1)",Intron
CTCF_union_00232,chr1,30145015,30145381,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00233,chr1,30503264,30503619,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00234,chr1,30584799,30585288,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00235,chr1,30700355,30700759,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00236,chr1,30740900,30741160,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00237,chr1,30778605,30779074,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00238,chr1,30780298,30780631,LOST,Distal Intergenic,Distal
CTCF_union_00239,chr1,30873074,30873748,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00240,chr1,30920857,30921127,LOST,Distal Intergenic,Distal
CTCF_union_00241,chr1,30948328,30949353,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00242,chr1,31153937,31154347,MAINTAINED,"Intron (ENSMUST00000233331.1/70988, intron 2 of 4)",Intron
CTCF_union_00243,chr1,31210053,31210612,MAINTAINED,"Intron (ENSMUST00000233331.1/70988, intron 1 of 4)",Intron
CTCF_union_00244,chr1,31337165,31337436,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00245,chr1,31452589,31452814,LOST,Distal Intergenic,Distal
CTCF_union_00246,chr1,32174503,32174949,MAINTAINED,Promoter (1-2kb),Promoter
CTCF_union_00247,chr1,32408244,32408476,GAINED,"Intron (ENSMUST00000027226.11/170771, intron 3 of 8)",Intron
CTCF_union_00248,chr1,32554048,32554296,MAINTAINED,"Intron (ENSMUST00000027226.11/170771, intron 6 of 8)",Intron
CTCF_union_00249,chr1,32964978,32965339,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00250,chr1,33022883,33023167,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00251,chr1,33174912,33175353,MAINTAINED,Distal Intergenic,Distal
CTCF_union_00252,chr1,33536709,33536902,LOST,"Intron (ENSMUST00000027312.10/19076, intron 7 of 13)",Intron
CTCF_union_00253,chr1,33565850,33566079,GAINED,"Intron (ENSMUST00000027312.10/19076, intron 7 of 13)",Intron
CTCF_union_00254,chr1,33627890,33628145,LOST,"Intron (ENSMUST00000027312.10/19076, intron 7 of 13)",Intron
CTCF_union_00255,chr1,33647154,33647553,MAINTAINED,"Intron (ENSMUST00000027312.10/19076, intron 5 of 13)",Intron
CTCF_union_00256,chr1,33663034,33663635,MAINTAINED,"Intron (ENSMUST00000027312.10/19076, intron 4 of 13)",Intron
CTCF_union_00257,chr1,33664871,33665158,GAINED,"Intron (ENSMUST00000027312.10/19076, intron 3 of 13)",Intron
CTCF_union_00258,chr1,33669696,33670794,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00259,chr1,33672517,33672906,MAINTAINED,Promoter (2-3kb),Promoter
CTCF_union_00260,chr1,33684588,33684878,LOST,Distal Intergenic,Distal
CTCF_union_00261,chr1,33739285,33739971,MAINTAINED,Promoter (1-2kb),Promoter
CTCF_union_00262,chr1,33742818,33743451,MAINTAINED,Downstream (<=300bp),Other
CTCF_union_00263,chr1,33757376,33757853,GAINED,Promoter (<=1kb),Promoter
CTCF_union_00264,chr1,33814113,33814742,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00265,chr1,33846925,33847128,LOST,Distal Intergenic,Distal
CTCF_union_00266,chr1,33875719,33876022,MAINTAINED,"Intron (ENSMUST00000115161.7/320705, intron 2 of 5)",Intron
CTCF_union_00267,chr1,33883471,33883813,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00268,chr1,33892751,33893214,MAINTAINED,"Intron (ENSMUST00000115161.7/320705, intron 1 of 5)",Intron
CTCF_union_00269,chr1,33906965,33907915,MAINTAINED,Promoter (<=1kb),Promoter
CTCF_union_00270,chr1,33944025,33944276,GAINED,"Intron (ENSMUST00000183034.4/13518, intron 2 of 102)",Intron
CTCF_union_00271,chr1,33964541,33965025,MAINTAINED,"Intron (ENSMUST00000183034.4/13518, intron 2 of 102)",Intron
CTCF_union_00272,chr1,33966255,33966895,MAINTAINED,"Intron (ENSMUST00000183034.4/13518, intron 2 of 102)",Intron
CTCF_union_00273,chr1,34005563,34006157,MAINTAINED,Promoter (<=1kb),Promoter
