# One row per reduced non-overlapping CTCF union component (mm10, BED-style 0-based start).
# Exact-coordinate MACS2 multi-summit records were collapsed before WT and mutant intervals were reduced.
# Signal is the mean of the deposited spike-in-normalised bigWig over the complete union component.
# log2FC_norm = log2((mutant + 0.01)/(wild type + 0.01)).
chrom,start,end,union_id,peak_class,n_wt_unique_intervals,n_mut_unique_intervals,n_wt_peak_records,n_mut_peak_records,wt_norm_signal,mut_norm_signal,log2FC_norm
chr1,6401519,6401812,CTCF_union_00031,MAINTAINED,1,1,1,1,14.49485722,4.52030331,-1.67885654
chr1,6406298,6406743,CTCF_union_00032,MAINTAINED,1,1,1,1,28.85939646,8.98112131,-1.68296799
chr1,6410107,6410458,CTCF_union_00033,MAINTAINED,1,1,1,1,16.30711198,10.26240269,-0.66761207
chr1,6417945,6418185,CTCF_union_00034,GAINED,0,1,0,1,11.59868760,4.74452335,-1.28783226
chr1,6479843,6480213,CTCF_union_00035,MAINTAINED,1,1,1,1,8.00837946,6.49462223,-0.30184542
chr1,6483245,6483538,CTCF_union_00036,LOST,1,0,1,0,11.20800804,6.65462470,-0.75122098
chr1,6489089,6489313,CTCF_union_00037,GAINED,0,1,0,1,7.92482588,6.33559925,-0.32244215
chr1,6859006,6859388,CTCF_union_00038,MAINTAINED,1,1,1,1,28.37403760,12.87371718,-1.13953093
chr1,6979681,6979899,CTCF_union_00039,LOST,1,0,1,0,14.57338038,4.01474305,-1.85735658
chr1,7010246,7010451,CTCF_union_00040,LOST,1,0,1,0,14.17623523,5.54903097,-1.35158645
chr1,7088359,7088775,CTCF_union_00041,MAINTAINED,1,1,1,1,7.61659257,9.61539056,0.33580645
chr1,7141284,7141759,CTCF_union_00042,MAINTAINED,1,1,1,1,6.44327120,4.19859074,-0.61669343
chr1,7204733,7205141,CTCF_union_00043,MAINTAINED,1,1,1,1,20.85656648,7.56426754,-1.46201494
chr1,7218955,7219236,CTCF_union_00044,LOST,1,0,1,0,20.45119425,1.82276144,-3.48079944
chr1,7396794,7397734,CTCF_union_00045,MAINTAINED,1,1,2,2,33.81700613,12.98682473,-1.38001630
chr1,7398076,7398753,CTCF_union_00046,MAINTAINED,1,1,1,1,39.12479423,44.47784724,0.18495943
chr1,7543561,7543781,CTCF_union_00047,LOST,1,0,1,0,22.07821059,3.31434414,-2.73213490
chr1,8410605,8410802,CTCF_union_00048,LOST,1,0,1,0,13.49363364,4.35057290,-1.63075807
chr1,8678836,8679066,CTCF_union_00049,LOST,1,0,1,0,15.63608696,3.37370059,-2.20912807
chr1,9299598,9300073,CTCF_union_00050,MAINTAINED,1,1,1,1,5.32169655,5.12643751,-0.05382658
chr1,9541218,9541719,CTCF_union_00051,MAINTAINED,1,1,1,1,33.02232610,3.46669678,-3.24808941
chr1,9545136,9545614,CTCF_union_00052,MAINTAINED,1,1,1,1,44.91393341,43.59255462,-0.04307159
chr1,9545812,9546506,CTCF_union_00053,MAINTAINED,1,1,1,1,6.10230357,2.85896384,-1.09118642
chr1,9548919,9549479,CTCF_union_00054,GAINED,0,1,0,1,9.23492481,14.86105396,0.68577341
chr1,9573202,9573608,CTCF_union_00055,MAINTAINED,1,1,1,1,18.40509320,7.98712562,-1.20333524
chr1,9621483,9621821,CTCF_union_00056,MAINTAINED,1,1,1,1,12.16585305,6.09001849,-0.99713733
chr1,9696728,9697154,CTCF_union_00057,LOST,1,0,1,0,25.05624284,1.09715095,-4.50082193
chr1,9700254,9700465,CTCF_union_00058,LOST,1,0,1,0,12.21934979,3.18420319,-1.93681971
chr1,9729503,9729832,CTCF_union_00059,GAINED,0,1,0,1,9.32385494,7.93498681,-0.23242822
chr1,9772731,9773235,CTCF_union_00060,MAINTAINED,1,1,1,1,24.51916865,24.53095376,0.00069298
chr1,9798173,9798555,CTCF_union_00061,GAINED,0,1,0,1,2.79972371,2.96748908,0.08366794
chr1,9943722,9944139,CTCF_union_00062,GAINED,0,1,0,2,5.04797454,4.47447525,-0.17362060
chr1,10007239,10007588,CTCF_union_00063,MAINTAINED,1,1,1,1,24.80776915,6.14104377,-2.01247029
chr1,10037658,10038213,CTCF_union_00064,GAINED,0,1,0,1,6.63740547,9.24919293,0.47809509
chr1,10039355,10040106,CTCF_union_00065,MAINTAINED,1,1,1,1,18.42604950,24.42010819,0.40613071
chr1,10089361,10089938,CTCF_union_00066,MAINTAINED,1,1,1,1,31.41497617,7.11379038,-2.14119468
chr1,10114688,10114931,CTCF_union_00067,GAINED,0,1,0,1,5.63930916,4.90419899,-0.20111818
chr1,10197035,10197281,CTCF_union_00068,GAINED,0,1,0,1,7.83572506,6.48378289,-0.27284763
chr1,10221035,10221284,CTCF_union_00069,LOST,1,0,1,0,6.20991703,1.67089440,-1.88766625
chr1,10229041,10229258,CTCF_union_00070,LOST,1,0,1,0,12.30295175,4.71024404,-1.38324330
chr1,10232152,10232381,CTCF_union_00071,GAINED,0,1,0,1,3.00294778,3.64107912,0.27714726
chr1,10233081,10233330,CTCF_union_00072,GAINED,0,1,0,1,6.57319894,4.72110312,-0.47661219
chr1,10430021,10430241,CTCF_union_00073,LOST,1,0,1,0,12.78259182,1.93368969,-2.71843878
chr1,10488325,10488570,CTCF_union_00074,MAINTAINED,1,1,1,1,10.02586933,5.92682669,-0.75740169
chr1,10759656,10759950,CTCF_union_00075,MAINTAINED,1,1,1,1,14.82973409,7.40852383,-1.00026119
chr1,10771796,10772215,CTCF_union_00076,MAINTAINED,1,1,1,1,13.35049869,4.81321190,-1.46990776
chr1,10835688,10836048,CTCF_union_00077,MAINTAINED,1,1,1,1,20.92344923,11.11743385,-0.91168912
chr1,10837280,10837487,CTCF_union_00078,LOST,1,0,1,0,14.32174538,1.90852984,-2.90114121
chr1,11065253,11065527,CTCF_union_00079,LOST,1,0,1,0,13.28752048,2.45310399,-2.43260782
chr1,11233979,11234217,CTCF_union_00080,LOST,1,0,1,0,15.82446178,5.57444414,-1.50358224
chr1,11413858,11414524,CTCF_union_00081,MAINTAINED,1,1,1,1,29.75921130,17.26260544,-0.78533528
chr1,11466340,11466718,CTCF_union_00082,MAINTAINED,1,1,1,1,11.46548089,7.40681527,-0.62968287
chr1,11565366,11565737,CTCF_union_00083,MAINTAINED,1,1,1,1,27.20278384,12.09881444,-1.16822693
chr1,11657636,11658112,CTCF_union_00084,MAINTAINED,1,1,1,1,27.89438624,22.08208634,-0.33696224
chr1,12834660,12834883,CTCF_union_00085,LOST,1,0,1,0,11.68281382,5.80696756,-1.00728299
chr1,12836660,12837230,CTCF_union_00086,MAINTAINED,1,1,1,1,23.50643913,24.35544688,0.05116706
chr1,12863953,12864444,CTCF_union_00087,MAINTAINED,1,1,1,1,28.51300866,23.25931636,-0.29369734
chr1,12935802,12936103,CTCF_union_00088,GAINED,0,1,0,1,4.25380498,6.42781756,0.59443024
chr1,12990037,12990921,CTCF_union_00089,MAINTAINED,1,1,1,1,21.48419665,15.11078131,-0.50741450
chr1,12992478,12992986,CTCF_union_00090,MAINTAINED,1,1,1,1,11.95301578,14.75877810,0.30396934
chr1,13049910,13050739,CTCF_union_00091,MAINTAINED,1,1,1,1,22.28621453,11.22012855,-0.98942435
chr1,13052006,13052392,CTCF_union_00092,MAINTAINED,1,1,1,1,27.94017234,11.28406679,-1.30729211
chr1,13117823,13118071,CTCF_union_00093,LOST,1,0,1,0,7.94987256,1.25793850,-2.65026056
chr1,13134340,13134648,CTCF_union_00094,MAINTAINED,1,1,1,1,15.80098029,6.19149045,-1.35023992
chr1,13138268,13138573,CTCF_union_00095,GAINED,0,1,0,1,6.04632199,4.63536279,-0.38265064
chr1,13142949,13143354,CTCF_union_00096,MAINTAINED,1,1,1,1,11.40695948,6.12523076,-0.89598898
chr1,13151057,13151488,CTCF_union_00097,MAINTAINED,1,1,1,1,19.62994352,8.81355969,-1.15435808
chr1,13188310,13188537,CTCF_union_00098,GAINED,0,1,0,1,4.75986632,4.29534702,-0.14781931
chr1,13190656,13190945,CTCF_union_00099,GAINED,0,1,0,1,6.85835233,4.91946855,-0.47853193
chr1,13227270,13227653,CTCF_union_00100,MAINTAINED,1,1,1,1,8.01579350,5.60773542,-0.51465536
chr1,13268933,13269202,CTCF_union_00101,GAINED,0,1,0,1,1.04783210,3.31367865,1.65167024
chr1,13355850,13356055,CTCF_union_00102,LOST,1,0,1,0,6.69195873,4.05351784,-0.72185357
chr1,13372612,13373614,CTCF_union_00103,MAINTAINED,1,1,1,2,7.78374919,9.72248388,0.32049054
chr1,13373885,13374495,CTCF_union_00104,GAINED,0,1,0,1,2.79376219,3.64738270,0.38344761
chr1,13500482,13500880,CTCF_union_00105,MAINTAINED,1,1,1,1,9.08616149,7.19138159,-0.33698415
chr1,13531509,13531802,CTCF_union_00106,MAINTAINED,1,1,1,1,25.59199703,5.01492348,-2.34908282
chr1,13589478,13590343,CTCF_union_00107,MAINTAINED,1,1,2,1,31.44872692,32.62014750,0.05274522
chr1,13659603,13660390,CTCF_union_00108,MAINTAINED,1,1,1,1,8.04702292,12.34144838,0.61636146
chr1,13697327,13697629,CTCF_union_00109,LOST,1,0,1,0,9.20426190,1.32788621,-2.78391319
chr1,13706347,13706731,CTCF_union_00110,MAINTAINED,1,1,1,1,27.57681077,10.19732987,-1.43437316
chr1,13784222,13784809,CTCF_union_00111,MAINTAINED,1,1,1,1,24.02187019,24.57773657,0.03299001
chr1,13789143,13789771,CTCF_union_00112,MAINTAINED,1,1,1,1,23.99821676,28.98535866,0.27229373
chr1,14635855,14636243,CTCF_union_00113,MAINTAINED,1,1,1,1,18.53505975,9.20775457,-1.00854766
chr1,14706212,14706469,CTCF_union_00114,LOST,1,0,1,0,7.76481383,1.94994175,-1.98799735
chr1,14729024,14729449,CTCF_union_00115,MAINTAINED,1,1,1,1,33.11494210,9.54057063,-1.79425909
chr1,14738313,14738741,CTCF_union_00116,MAINTAINED,1,1,1,1,8.58589236,3.95990866,-1.11454160
chr1,14740072,14740420,CTCF_union_00117,LOST,1,0,1,0,30.06913098,2.84096978,-3.39923824
chr1,14862324,14862883,CTCF_union_00118,MAINTAINED,1,1,1,1,15.68579200,13.67406285,-0.19788119
chr1,14918741,14918968,CTCF_union_00119,GAINED,0,1,0,1,5.05928326,5.22862912,0.04740755
chr1,14980387,14980591,CTCF_union_00120,LOST,1,0,1,0,12.88117424,2.28554769,-2.48947337
chr1,15007582,15008063,CTCF_union_00121,MAINTAINED,1,1,1,1,20.29394404,19.93274000,-0.02589636
chr1,15286433,15286974,CTCF_union_00122,MAINTAINED,1,1,1,1,10.44884877,12.18202975,0.22121427
chr1,15327328,15327649,CTCF_union_00123,GAINED,0,1,0,1,7.92461164,4.98920236,-0.66646168
chr1,15621912,15622312,CTCF_union_00124,MAINTAINED,1,1,1,1,21.05505439,11.12593638,-0.91962877
chr1,15636488,15636738,CTCF_union_00125,GAINED,0,1,0,1,2.02704124,3.63698618,0.84022954
chr1,15683649,15684030,CTCF_union_00126,MAINTAINED,1,1,1,1,32.77716918,8.03630154,-2.02673364
chr1,15791877,15792319,CTCF_union_00127,MAINTAINED,1,1,1,1,29.61270771,8.98626382,-1.71930564
chr1,15875117,15875559,CTCF_union_00128,MAINTAINED,1,1,1,1,10.60019005,9.16143444,-0.21023120
chr1,15902433,15902817,CTCF_union_00129,MAINTAINED,1,1,1,1,13.44937360,6.24528402,-1.10546397
chr1,15993518,15993898,CTCF_union_00130,MAINTAINED,1,1,1,1,19.83536031,11.59657830,-0.77385904
chr1,16095790,16096093,CTCF_union_00131,GAINED,0,1,0,1,5.25989165,3.76271897,-0.48216866
chr1,16104747,16106081,CTCF_union_00132,MAINTAINED,1,1,1,2,10.95209804,14.47909880,0.40244392
chr1,16304910,16305274,CTCF_union_00133,MAINTAINED,1,1,1,1,8.68545652,5.17039060,-0.74720089
chr1,16433391,16433788,CTCF_union_00134,MAINTAINED,1,1,1,1,26.01541594,11.21501040,-1.21320444
chr1,16440082,16440573,CTCF_union_00135,MAINTAINED,1,1,1,1,17.75128944,7.54131109,-1.23393727
chr1,16491247,16491478,CTCF_union_00136,GAINED,0,1,0,1,11.26090401,4.34374406,-1.37227473
chr1,16519080,16520093,CTCF_union_00137,MAINTAINED,2,1,2,2,10.15364334,14.20727023,0.48422683
chr1,16664915,16665212,CTCF_union_00138,GAINED,0,1,0,1,2.71588972,7.87704094,1.53275693
chr1,16675060,16675288,CTCF_union_00139,GAINED,0,1,0,1,1.53874738,3.45802647,1.16301307
chr1,16746052,16746401,CTCF_union_00140,MAINTAINED,1,1,1,1,15.73182694,4.62223900,-1.76482139
chr1,16798377,16798651,CTCF_union_00141,LOST,1,0,1,0,20.88794365,3.75211199,-2.47374629
chr1,17123396,17123830,CTCF_union_00142,MAINTAINED,1,1,1,1,37.66883903,8.15144017,-2.20685885
chr1,17145426,17145723,CTCF_union_00143,GAINED,0,1,0,1,11.14456362,4.87003365,-1.19267108
chr1,17163474,17163977,CTCF_union_00144,MAINTAINED,1,1,1,1,26.86901486,20.44457283,-0.39405685
chr1,17629529,17629939,CTCF_union_00145,MAINTAINED,1,1,1,1,11.39583264,8.81328592,-0.37038383
chr1,17707348,17707541,CTCF_union_00146,LOST,1,0,1,0,7.19608220,1.23582578,-2.53211277
chr1,17980627,17980954,CTCF_union_00147,LOST,1,0,1,0,26.71979406,6.85602274,-1.96090218
chr1,18012860,18013287,CTCF_union_00148,MAINTAINED,1,1,1,1,12.82180695,7.57638083,-0.75824064
chr1,18106089,18107262,CTCF_union_00149,MAINTAINED,1,1,2,2,23.66827192,14.78315370,-0.67863415
chr1,18131676,18132055,CTCF_union_00150,LOST,1,0,1,0,12.73672458,1.89770360,-2.74021764
chr1,18288933,18289197,CTCF_union_00151,LOST,1,0,1,0,13.63939480,3.93613416,-1.79032508
chr1,18359874,18360391,CTCF_union_00152,MAINTAINED,1,1,1,1,18.56472681,12.98616779,-0.51525472
chr1,18410917,18411194,CTCF_union_00153,GAINED,0,1,0,1,2.91198421,3.88655387,0.41525038
chr1,18976738,18977094,CTCF_union_00154,MAINTAINED,1,1,1,1,29.55064868,6.99300407,-2.07763210
chr1,19056443,19056659,CTCF_union_00155,LOST,1,0,1,0,20.66848258,6.11857738,-1.75450620
chr1,19178943,19179531,CTCF_union_00156,MAINTAINED,1,1,1,1,21.07337732,16.36002582,-0.36504939
chr1,19205492,19206572,CTCF_union_00157,MAINTAINED,1,1,2,2,25.44446036,16.11312715,-0.65878689
chr1,19973417,19973699,CTCF_union_00158,MAINTAINED,1,1,1,1,12.05458217,5.56454781,-1.11385126
chr1,20311482,20311950,CTCF_union_00159,MAINTAINED,1,1,1,1,19.50787929,14.76457469,-0.40167971
chr1,20450132,20450518,CTCF_union_00160,MAINTAINED,1,1,1,1,31.00866236,14.56246023,-1.08989201
chr1,20513479,20514091,CTCF_union_00161,MAINTAINED,1,1,1,1,19.45241200,11.32438576,-0.77998431
chr1,20554394,20554848,CTCF_union_00162,MAINTAINED,1,1,1,1,21.31372359,20.11991590,-0.08311824
chr1,20612670,20613240,CTCF_union_00163,MAINTAINED,1,1,1,1,24.11141526,12.64791541,-0.93027472
chr1,20700076,20700370,CTCF_union_00164,LOST,1,0,1,0,28.52054206,2.87080688,-3.30796230
chr1,20801687,20802132,CTCF_union_00165,MAINTAINED,1,1,1,1,35.81566525,13.58768388,-1.39763256
chr1,20890422,20891322,CTCF_union_00166,MAINTAINED,1,1,1,1,9.14678995,10.40715041,0.18604685
chr1,20933392,20933826,CTCF_union_00167,MAINTAINED,1,1,1,1,27.40871240,3.89732094,-2.81090916
chr1,20938988,20939385,CTCF_union_00168,MAINTAINED,1,1,1,1,29.43570942,9.19117749,-1.67816703
chr1,21101223,21101616,CTCF_union_00169,MAINTAINED,1,1,1,1,9.70915631,7.87030245,-0.30258008
chr1,21161811,21162209,CTCF_union_00170,MAINTAINED,1,1,1,1,29.41951569,12.95974204,-1.18211402
chr1,21166010,21166608,CTCF_union_00171,MAINTAINED,1,1,1,1,30.88341267,15.53393696,-0.99094729
chr1,21218286,21218938,CTCF_union_00172,MAINTAINED,1,1,1,1,44.30271662,41.07355736,-0.10915967
chr1,21271470,21271712,CTCF_union_00173,LOST,1,0,1,0,15.71158826,4.78851968,-1.71208566
chr1,21344277,21344693,CTCF_union_00174,MAINTAINED,1,1,1,1,27.84741689,7.46175263,-1.89854289
chr1,21411200,21411682,CTCF_union_00175,MAINTAINED,1,1,1,1,30.96047904,24.42441208,-0.34197931
chr1,21419418,21419742,CTCF_union_00176,MAINTAINED,1,1,1,1,14.66282777,9.93502910,-0.56109944
chr1,21461068,21461496,CTCF_union_00177,MAINTAINED,1,1,1,1,28.67104020,5.61384554,-2.35046847
chr1,21960720,21961983,CTCF_union_00178,MAINTAINED,2,1,2,2,11.69953807,8.88840495,-0.39606551
chr1,21967133,21967532,CTCF_union_00179,MAINTAINED,1,1,1,1,13.86061519,8.55443547,-0.69560172
chr1,22105631,22105829,CTCF_union_00180,LOST,1,0,1,0,8.24610163,1.72313348,-2.25207796
chr1,22268896,22269448,CTCF_union_00181,MAINTAINED,1,1,1,1,38.64118289,35.96786291,-0.10340307
chr1,22487298,22487709,CTCF_union_00182,MAINTAINED,1,1,1,1,23.29556104,11.51613591,-1.01576531
chr1,22532998,22533314,CTCF_union_00183,LOST,1,0,1,0,7.04414028,2.87377309,-1.29051261
chr1,22604249,22604880,CTCF_union_00184,MAINTAINED,1,1,1,1,16.87396359,23.57900756,0.48246110
chr1,22734531,22734778,CTCF_union_00185,MAINTAINED,1,1,1,1,7.44182859,4.26904512,-0.80030560
chr1,23062011,23062407,CTCF_union_00186,MAINTAINED,1,1,1,1,32.93266698,8.48316944,-1.95558242
chr1,23140538,23141006,CTCF_union_00187,MAINTAINED,1,1,1,1,13.22238905,6.13635064,-1.10627158
chr1,23256866,23257102,CTCF_union_00188,GAINED,0,1,0,1,1.99058512,2.99230286,0.58564751
chr1,23286671,23287306,CTCF_union_00189,MAINTAINED,1,1,1,1,20.58633561,15.65694334,-0.39466395
chr1,23324285,23324553,CTCF_union_00190,MAINTAINED,1,1,1,1,25.57001108,7.88281768,-1.69640456
chr1,23382979,23383478,CTCF_union_00191,GAINED,0,1,0,1,3.38417366,3.01852048,-0.16444721
chr1,23495389,23495719,CTCF_union_00192,MAINTAINED,1,1,1,1,12.27601968,3.36118338,-1.86569059
chr1,23684514,23684752,CTCF_union_00193,GAINED,0,1,0,1,6.15255544,4.41618025,-0.47746652
chr1,23705566,23705907,CTCF_union_00194,MAINTAINED,1,1,1,1,24.39756616,6.41319577,-1.92596527
chr1,23761668,23763423,CTCF_union_00195,MAINTAINED,1,1,1,2,15.66667804,17.65818293,0.17253380
chr1,23792777,23793129,CTCF_union_00196,MAINTAINED,1,1,1,1,27.70139955,6.12012974,-2.17649006
chr1,23826998,23827644,CTCF_union_00197,MAINTAINED,1,1,1,1,17.99768895,12.06255616,-0.57688187
chr1,23906097,23906428,CTCF_union_00198,MAINTAINED,1,1,1,1,22.89251285,8.31716913,-1.45960787
chr1,24022245,24022598,CTCF_union_00199,GAINED,0,1,0,1,2.69419519,4.38266556,0.69989737
chr1,24034021,24034474,CTCF_union_00200,MAINTAINED,1,1,1,1,16.88606193,11.85330404,-0.51018116
chr1,24134834,24135262,CTCF_union_00201,MAINTAINED,1,1,1,1,21.80745730,7.01465534,-1.63498363
chr1,24137081,24137568,CTCF_union_00202,MAINTAINED,1,1,1,1,24.40941043,12.58182097,-0.95554144
chr1,24171371,24171947,CTCF_union_00203,MAINTAINED,1,1,1,1,26.35560379,26.60300923,0.01347461
chr1,24230313,24230659,CTCF_union_00204,MAINTAINED,1,1,1,1,11.52634607,4.04100234,-1.50983553
chr1,24249034,24249555,CTCF_union_00205,MAINTAINED,1,1,1,1,35.07269005,31.91595811,-0.13602946
chr1,24261217,24261494,CTCF_union_00206,LOST,1,0,1,0,10.67185676,4.58175334,-1.21804539
chr1,24300812,24301053,CTCF_union_00207,LOST,1,0,1,0,11.06945800,3.10321228,-1.83141145
chr1,24302633,24303125,CTCF_union_00208,MAINTAINED,1,1,1,1,29.11226231,12.43320211,-1.22676464
chr1,24337629,24337928,CTCF_union_00209,GAINED,0,1,0,1,4.21874252,7.77312522,0.88012085
chr1,24367463,24368052,CTCF_union_00210,MAINTAINED,1,1,1,1,22.55895511,22.37902415,-0.01154798
chr1,24374990,24375218,CTCF_union_00211,LOST,1,0,1,0,15.60666839,3.86353588,-2.01136370
chr1,24378438,24378947,CTCF_union_00212,MAINTAINED,1,1,1,1,14.88589946,9.16738516,-0.69876018
chr1,24586492,24586801,CTCF_union_00213,MAINTAINED,1,1,1,1,6.75247294,9.33427227,0.46653140
chr1,24633752,24634090,CTCF_union_00214,LOST,1,0,1,0,20.87770836,2.38969110,-3.12173361
chr1,24678390,24679083,CTCF_union_00215,MAINTAINED,1,1,1,1,29.19401347,43.50533451,0.57535724
chr1,24716982,24717262,CTCF_union_00216,GAINED,0,1,0,1,6.81106514,4.80310188,-0.50303008
chr1,24718511,24718708,CTCF_union_00217,LOST,1,0,1,0,9.72890213,1.91327361,-2.34019512
chr1,24719676,24720108,CTCF_union_00218,MAINTAINED,1,1,1,1,19.08588762,6.90112482,-1.46626954
chr1,24901250,24901699,CTCF_union_00219,MAINTAINED,1,1,1,1,13.88987360,4.84470548,-1.51761608
chr1,25085675,25085873,CTCF_union_00220,LOST,1,0,1,0,6.95630842,0.73766678,-3.21992701
chr1,25471661,25471987,CTCF_union_00221,MAINTAINED,1,1,1,1,17.33076887,6.16629908,-1.48935335
chr1,25504350,25504704,CTCF_union_00222,MAINTAINED,1,1,1,1,19.90019693,12.03811107,-0.72470052
chr1,25510285,25510792,CTCF_union_00223,MAINTAINED,1,1,1,1,24.30804073,15.03233640,-0.69299833
chr1,25526961,25527279,CTCF_union_00224,MAINTAINED,1,1,1,1,17.51374542,6.20280632,-1.49599418
chr1,25616980,25617324,CTCF_union_00225,MAINTAINED,1,1,1,1,9.35604962,5.81890622,-0.68421549
chr1,25696714,25697096,CTCF_union_00226,MAINTAINED,1,1,1,1,7.01762091,8.54238671,0.28329072
chr1,25826728,25827286,CTCF_union_00227,MAINTAINED,1,1,1,1,25.21389766,23.74580235,-0.08651129
chr1,25828947,25829351,CTCF_union_00228,MAINTAINED,1,1,1,1,14.04039437,11.30289784,-0.31264210
chr1,25829872,25830195,CTCF_union_00229,GAINED,0,1,0,1,4.95741126,4.03460828,-0.29649421
chr1,25894311,25894574,CTCF_union_00230,LOST,1,0,1,0,13.08697241,2.15347984,-2.59780776
chr1,27895428,27895687,CTCF_union_00231,MAINTAINED,1,1,1,1,11.82452848,5.58346189,-1.08118885
chr1,30145015,30145381,CTCF_union_00232,MAINTAINED,1,1,1,1,36.25199959,5.99915606,-2.59322419
chr1,30503264,30503619,CTCF_union_00233,MAINTAINED,1,1,1,1,22.83428028,10.14757130,-1.16927750
chr1,30584799,30585288,CTCF_union_00234,MAINTAINED,1,1,1,1,33.16225342,26.39583351,-0.32912034
chr1,30700355,30700759,CTCF_union_00235,MAINTAINED,1,1,1,1,23.12521241,14.93785442,-0.63015193
chr1,30740900,30741160,CTCF_union_00236,MAINTAINED,1,1,1,1,15.43501156,7.93011423,-0.95990928
chr1,30778605,30779074,CTCF_union_00237,MAINTAINED,1,1,1,1,33.08778992,9.36450387,-1.81992064
chr1,30780298,30780631,CTCF_union_00238,LOST,1,0,1,0,11.62813102,1.99292051,-2.53868232
chr1,30873074,30873748,CTCF_union_00239,MAINTAINED,1,1,1,1,9.07879737,9.62752111,0.08457271
chr1,30920857,30921127,CTCF_union_00240,LOST,1,0,1,0,10.23034705,1.92853328,-2.40122720
chr1,30948328,30949353,CTCF_union_00241,MAINTAINED,1,1,1,2,9.31121263,9.19968640,-0.01736562
chr1,31153937,31154347,CTCF_union_00242,MAINTAINED,1,1,1,1,22.16513668,12.58042944,-0.81661550
chr1,31210053,31210612,CTCF_union_00243,MAINTAINED,1,1,1,1,21.38882517,20.86115494,-0.03602116
